Row.names,PC1,PC2,PC3,X,Tube,root.microb3,Vegetation,Location,SampleID,LDMC..g.g.,SLA..cm.2.g.,X15N,X13C,Wt..N.,Wt..C.
58,0.905428942,-1.233387876,-1.009059254,ITS.cc.110,110,AMF,S,Mexico,ITS.cc.110,2.657326262,4.60805731,1.332946326,1.596586161,0.78999192,1.341839065
59,1.815962524,-0.26261615,0.052630992,ITS.cc.121,121,Nfix,S,Spain Ordesa ,ITS.cc.121,3.300585078,2.748939472,1.941963299,1.753981587,0.718145127,1.366928024
6,-0.820806716,-0.018412188,-0.178485242,ITS.cc.6,6,Nfix,S,Switzerland,ITS.cc.6,3.143509692,5.839206843,2.008690805,1.247835821,1.113380007,1.360170441
60,0.883713174,-0.31759644,-1.110496335,ITS.cc.122,122,Nfix,S,Spain Ordesa ,ITS.cc.122,3.241890659,3.08788041,2.02896377,1.347347067,0.94794316,1.358942883
61,1.233770908,0.307053713,-1.922863001,ITS.cc.123,123,Nfix,S,Spain Ordesa ,ITS.cc.123,3.195688863,2.838812013,1.969451437,1.050051258,0.668421556,1.358705457
62,0.998633366,-0.382699504,-0.817676659,ITS.cc.124,124,Nfix,S,Spain Ordesa ,ITS.cc.124,3.116044649,3.101914398,1.932052865,1.490163625,0.911790235,1.359831113
63,1.020059945,-0.36778784,-1.540857202,ITS.cc.125,125,Nfix,S,Spain Ordesa ,ITS.cc.125,3.341382566,2.69810355,1.985725603,1.26477804,1.082242861,1.357638859
64,1.029958054,-0.632356482,-0.568110581,ITS.cc.126,126,Nfix,S,Spain Ordesa ,ITS.cc.126,3.209110536,3.038433518,1.933783489,1.599324706,1.044137848,1.360041718
65,0.980934995,-0.201742846,-1.270428431,ITS.cc.127,127,Nfix,S,Spain Ordesa ,ITS.cc.127,3.195627184,2.867267022,1.967920771,1.328271739,0.961360853,1.359875845
66,1.739575255,0.294239562,-0.57136566,ITS.cc.128,128,Nfix,S,Spain Ordesa ,ITS.cc.128,3.219969657,3.011821354,1.76837637,1.488114035,0.667424981,1.366962355
67,1.174351693,-0.260265921,-2.076324974,ITS.cc.129,129,Nfix,S,Spain Ordesa ,ITS.cc.129,3.114741378,3.005600628,1.784733092,1.130131369,0.831199394,1.351729615
68,0.926478445,-0.158386772,-1.506849335,ITS.cc.130,130,Nfix,S,Spain Ordesa ,ITS.cc.130,3.164834813,2.916413188,1.890345867,1.263922639,1.00886672,1.358726101
69,2.110178898,-0.309078228,1.64596456,ITS.cc.141,141,AMF,S,Spain ,ITS.cc.141,3.502967698,5.046491631,1.591273942,2.009555414,0.431782416,1.366241193
7,-0.988849255,-0.2935111,-0.461671025,ITS.cc.7,7,Nfix,S,Switzerland,ITS.cc.7,3.036962685,5.995095024,2.022393457,1.202318547,1.064862553,1.354349977
70,2.59297294,0.096760155,0.563427558,ITS.cc.142,142,AMF,S,Spain ,ITS.cc.142,3.287621459,4.958865829,1.294727168,1.728109442,0.122217633,1.360496156
71,1.361512902,-0.294008683,1.524360911,ITS.cc.143,143,AMF,S,Spain ,ITS.cc.143,3.237859949,5.09655838,1.830980182,1.95160817,0.418710335,1.365988146
72,1.172299563,0.06379367,1.192925043,ITS.cc.144,144,AMF,S,Spain ,ITS.cc.144,3.21724066,5.265143097,1.953027617,1.745715531,0.254642218,1.365988146
73,1.5959359,0.226082918,1.090871023,ITS.cc.145,145,AMF,S,Spain ,ITS.cc.145,3.158932689,5.232980056,1.710187816,1.757857918,0.173953307,1.366038781
74,1.023479653,-0.640106747,1.643698044,ITS.cc.146,146,AMF,S,Spain ,ITS.cc.146,3.09678135,5.31846772,1.800058272,2.046401688,0.536493371,1.363183657
75,1.227699391,-0.029637844,1.486997532,ITS.cc.147,147,AMF,S,Spain ,ITS.cc.147,2.909355881,5.342190018,1.640936579,1.962907725,0.329303747,1.366847222
76,1.234139436,0.278775181,1.247239485,ITS.cc.148,148,AMF,S,Spain ,ITS.cc.148,2.950177876,5.332410247,1.769854634,1.805004696,0.157003749,1.367501719
77,1.648593,-0.110403617,1.383786452,ITS.cc.149,149,AMF,S,Spain ,ITS.cc.149,3.285575421,5.048912196,1.750069163,1.895741337,0.335299448,1.366323128
78,1.964499157,-0.104823526,1.347524978,ITS.cc.150,150,AMF,S,Spain ,ITS.cc.150,3.394558399,4.912519066,1.720191522,1.891028883,0.289668635,1.366126941
79,-2.121579051,1.651829133,-1.97931007,ITS.cc.161,161,Nfix,S,France ,ITS.cc.161,2.857214564,6.038285121,1.932197198,0.445628454,1.374204238,1.367077771
8,-0.452402712,-0.249244578,-2.052807951,ITS.cc.8,8,Nfix,S,Switzerland,ITS.cc.8,3.069384094,4.420713356,2.024925296,0.900890434,1.10905504,1.349635173
80,-0.940299085,0.768003462,0.648719103,ITS.cc.162,162,Nfix,S,France ,ITS.cc.162,3.034257698,5.663658712,2.008715383,1.408671906,1.178349496,1.375770009
81,-1.795930939,1.279343966,-0.717059073,ITS.cc.163,163,Nfix,S,France ,ITS.cc.163,2.807150782,6.036665238,1.996204148,0.893166209,1.231786867,1.370963005
82,-1.266265169,1.084187006,-1.878226101,ITS.cc.164,164,Nfix,S,France ,ITS.cc.164,2.943104763,5.667155027,1.995601241,0.598271946,1.007634447,1.360188469
83,-1.126366717,0.622388459,0.485260404,ITS.cc.165,165,Nfix,S,France ,ITS.cc.165,3.00750619,5.883968146,1.999796205,1.360577089,1.208499303,1.372471605
84,-0.807025298,0.433686755,1.348319944,ITS.cc.166,166,Nfix,S,France ,ITS.cc.166,2.987729727,5.875737799,1.971723026,1.670112453,1.133028575,1.375872495
85,-1.702528516,1.464773856,-0.870473039,ITS.cc.167,167,Nfix,S,France ,ITS.cc.167,2.949991238,6.017270566,1.983184354,0.796085465,1.268801927,1.372136858
86,-0.8687474,-0.379374146,0.45922788,ITS.cc.168,168,Nfix,S,France ,ITS.cc.168,3.050624625,5.529626787,2.034825484,1.551273487,1.266929123,1.363120069
87,-1.146854666,-0.127306942,0.926698902,ITS.cc.169,169,Nfix,S,France ,ITS.cc.169,2.914027648,5.759113805,2.03195279,1.645613687,1.289174431,1.368589576
88,-0.926987055,0.560049435,0.622302843,ITS.cc.170,170,Nfix,S,France ,ITS.cc.170,3.092275597,5.701551111,2.048423518,1.412198922,1.17860252,1.373228281
89,1.920973769,1.90260138,-1.23537591,ITS.cc.181,181,"ECM,ERM",S,Czech Rep ,ITS.cc.181,2.830008479,4.054655346,1.267448436,1.066180553,0.151746204,1.371310046
9,-0.088980373,0.460967756,-1.383122254,ITS.cc.9,9,Nfix,S,Switzerland,ITS.cc.9,3.097303087,4.392878871,2.006388663,0.993562317,0.918362385,1.360666832
90,1.119431561,1.234967471,0.21431087,ITS.cc.182,182,"ECM,ERM",S,Czech Rep ,ITS.cc.182,3.159847934,4.061354592,2.109665948,1.374503117,0.263949205,1.376685259
91,2.347516884,0.896486148,0.776591619,ITS.cc.183,183,"ECM,ERM",S,Czech Rep ,ITS.cc.183,3.2650732,4.004674211,1.401565167,1.754664272,0.433515581,1.376794599
92,2.446931345,0.642121318,0.155468309,ITS.cc.184,184,"ECM,ERM",S,Czech Rep ,ITS.cc.184,3.514614932,3.95692178,1.497426104,1.549770113,0.436682405,1.369893032
93,2.050909994,0.362470956,0.187728053,ITS.cc.185,185,"ECM,ERM",S,Czech Rep ,ITS.cc.185,3.545547463,3.991086995,1.660257863,1.557691042,0.569314041,1.368303416
94,1.925636838,1.210184447,-0.537761677,ITS.cc.186,186,"ECM,ERM",S,Czech Rep ,ITS.cc.186,3.420764426,3.931970451,1.718479277,1.210041731,0.331238876,1.371064279
95,1.4233164,0.897549995,0.732083183,ITS.cc.187,187,"ECM,ERM",S,Czech Rep ,ITS.cc.187,3.407026405,4.146943216,2.057832208,1.549185085,0.384999025,1.376973528
96,2.553090059,0.57211851,0.962364261,ITS.cc.188,188,"ECM,ERM",S,Czech Rep ,ITS.cc.188,3.367031113,3.945764946,1.314900771,1.875345569,0.553234004,1.375425187
97,2.264392615,0.816615992,0.686302759,ITS.cc.189,189,"ECM,ERM",S,Czech Rep ,ITS.cc.189,3.305603599,4.016351561,1.522535242,1.705343533,0.38215606,1.375093523
98,2.721193554,0.725327205,0.772973948,ITS.cc.190,190,"ECM,ERM",S,Czech Rep ,ITS.cc.190,3.493593576,3.96237361,1.416741458,1.747907681,0.385554499,1.374560114
99,-3.108498985,-0.014117739,-0.412910896,ITS.cc.201,201,"ECM,ERM",S,Sweden ,ITS.cc.201,2.381278887,6.081629615,2.191407334,1.215804572,1.710803168,1.363221846
