site,veg,symbiont,ITS.otus,ITS.chao1,ph,vwc,soilN,soilCN,sla,ldmc,leafN,temp,precip,PCOA1,PCOA2,X
Japan,S,AMF,-0.304792177,-0.38875423,0.997161187,1.417939521,-0.642787089,1.71313396,0.137328326,0.985644375,-0.043912547,-1.440517121,0.98144913,0.450954595,-0.651080767,ITS.cc.22
China,S,AMF,0.280433154,-0.017821723,1.285394011,0.781277645,-0.922760146,0.135238777,0.970432099,NA,NA,-0.013870179,-1.065346215,-0.632174511,0.155184015,ITS.cc.220
China,S,AMF,0.105717824,-0.177549652,0.324617929,0.805954462,-0.863092562,-0.046320654,0.970432099,NA,NA,-0.013870179,-1.065346215,-0.34501997,-0.260573935,ITS.cc.221
China,S,AMF,-0.08414897,-0.402395732,0.612850754,0.840502005,-0.5767419,-0.187528638,0.970432099,NA,NA,-0.013870179,-1.065346215,-0.512015835,-0.242574989,ITS.cc.222
China,S,AMF,3.709399049,3.22430296,0.997161187,0.889855639,-0.995260676,0.410990004,0.970432099,NA,NA,-0.013870179,-1.065346215,0.664046966,-0.25991129,ITS.cc.223
China,S,AMF,0.343879913,-0.051009252,0.997161187,0.929338546,-0.24757841,-0.219716589,0.970432099,NA,NA,-0.013870179,-1.065346215,-0.502209696,-0.342842437,ITS.cc.224
China,S,AMF,-0.386704784,-0.560251688,0.997161187,0.958950727,-0.188982601,-0.144380326,0.970432099,NA,NA,-0.013870179,-1.065346215,-0.531264089,-0.317798884,ITS.cc.225
China,S,AMF,0.080149727,-0.208068172,0.997161187,1.003368997,-0.127396218,-0.148949093,0.970432099,NA,NA,-0.013870179,-1.065346215,-0.589028289,-0.390132073,ITS.cc.226
Japan,S,AMF,-1.258387498,-1.331947995,0.516773146,1.023110451,-0.392865157,0.580047611,0.137328326,0.985644375,-0.043912547,-1.440517121,0.98144913,-0.012819395,-0.078223111,ITS.cc.23
China,NS,AMF,-0.167008544,-0.272713897,1.669704444,1.230395713,-0.898819612,0.356412886,0.970432099,NA,NA,-0.013870179,-1.065346215,-0.552704421,0.022637539,ITS.cc.230
China,NS,AMF,0.161588851,-0.179195619,1.410294902,1.200783532,-0.924050062,0.535418789,0.970432099,NA,NA,-0.013870179,-1.065346215,-0.109051786,-0.368633919,ITS.cc.231
