,Kingdom,Phylum,Class,Order,Family,Genus,Species 
OTU14046,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Sporobolomyces,
OTU14047,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,,,
OTU14048,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,,,
OTU14049,Stramenopila,Oomycota,Oomycetes,Peronosporales,,,
OTU14050,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Cunninghamellaceae,Absidia,Absidia caerulea
OTU14051,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,,,
OTU14052,Stramenopila,Oomycota,Oomycetes,Peronosporales,,,
OTU14054,Fungi,Ascomycota,Sordariomycetes,Hypocreales,,,
OTU14055,Fungi,Ascomycota,Sordariomycetes,Hypocreales,,,
OTU14056,Fungi,Ascomycota,Sordariomycetes,Hypocreales,,,
OTU14057,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Pucciniaceae,Uromyces,
OTU14058,Stramenopila,Oomycota,Oomycetes,Peronosporales,,,
OTU14059,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,,,
OTU14060,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Trichomeriaceae,Knufia,Knufia peltigerae
OTU14061,Fungi,Basidiomycota,Agaricomycetes,Boletales,,,
OTU14062,Fungi,Ascomycota,Sordariomycetes,Xylariales,Sporocadaceae,Pestalotiopsis,
OTU14063,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,,,
OTU14064,Stramenopila,Oomycota,Oomycetes,Peronosporales,,,
OTU14065,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Clavariaceae,,
OTU14066,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Piskurozymaceae,Piskurozyma,
OTU14067,Fungi,Ascomycota,Dothideomycetes,Pleosporales,,,
OTU14068,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,Serendipitaceae,Serendipita,
OTU14069,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,,,
OTU14070,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,,,
OTU14071,Stramenopila,Oomycota,Oomycetes,Peronosporales,,,
OTU14072,Stramenopila,Oomycota,Oomycetes,Peronosporales,,,
OTU14073,Stramenopila,Oomycota,Oomycetes,Peronosporales,,,
OTU14074,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,,,
OTU14075,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Tolypocladium,
OTU14076,Stramenopila,Oomycota,Oomycetes,Peronosporales,,,
OTU14077,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,,,
OTU14078,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,,,
OTU14079,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,,
OTU14080,Stramenopila,Oomycota,Oomycetes,Peronosporales,,,
OTU14081,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,,,
OTU14082,Stramenopila,Oomycota,Oomycetes,Peronosporales,,,
OTU14083,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Orbilia,
OTU14084,Stramenopila,Oomycota,Oomycetes,Peronosporales,,,
OTU14085,Fungi,,,,,,
OTU14086,Viridiplantae,Gnetophyta,Gnetopsida,Gnetales,,,
OTU14087,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Piskurozymaceae,Piskurozyma,
OTU14088,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,,,
OTU14089,Viridiplantae,Anthophyta,Eudicotyledonae,Caryophyllales,,,
OTU14090,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,,,
OTU14091,Stramenopila,Oomycota,Oomycetes,Peronosporales,,,
OTU14092,Fungi,Rozellomycota,,,,,
OTU14093,,,,,,,
OTU14094,Fungi,Basidiomycota,Microbotryomycetes,Leucosporidiales,,,
OTU14095,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,,,
OTU14096,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleraceae,Fonsecazyma,
OTU14098,Stramenopila,Oomycota,Oomycetes,Peronosporales,,,
OTU14099,,,,,,,
OTU14100,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,,,
OTU14101,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Ceratobasidium,Ceratobasidium cereale
OTU14102,Stramenopila,Oomycota,Oomycetes,Peronosporales,,,
OTU14103,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Tulostoma,
OTU14104,Stramenopila,Oomycota,Oomycetes,Peronosporales,,,
OTU14105,Stramenopila,Oomycota,Oomycetes,Peronosporales,,,
OTU14106,Ichthyosporia,Ichthyosporea,Dermocystida,,,,
OTU14107,Viridiplantae,Anthophyta,Eudicotyledonae,Lamiales,,,
OTU14108,Stramenopila,Oomycota,Oomycetes,Peronosporales,,,
OTU14109,Stramenopila,Oomycota,Oomycetes,Peronosporales,,,
OTU14110,Fungi,Rozellomycota,,,,,
OTU14111,Stramenopila,Oomycota,Oomycetes,Peronosporales,,,
OTU14113,Fungi,Basidiomycota,Agaricomycetes,,,,
OTU14114,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,,,
OTU14115,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,
OTU14116,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,,,
OTU14117,Stramenopila,Oomycota,Oomycetes,Peronosporales,,,
OTU14119,,,,,,,
OTU14120,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,,,
OTU14121,Stramenopila,Oomycota,Oomycetes,Peronosporales,,,
OTU14122,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,,,
OTU14123,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,,
OTU14124,Stramenopila,Oomycota,Oomycetes,Peronosporales,,,
OTU14125,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Schizoporaceae,Hyphodontia,Hyphodontia arguta
OTU14126,Stramenopila,Oomycota,Oomycetes,Peronosporales,,,
OTU14127,,,,,,,
OTU14128,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,,,
OTU14129,Fungi,Ascomycota,Dothideomycetes,Capnodiales,,,
OTU14130,Stramenopila,Oomycota,Oomycetes,Peronosporales,,,
OTU14131,Fungi,Ascomycota,Geoglossomycetes,Geoglossales,Geoglossaceae,,
OTU14132,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Calophoma,
OTU14133,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma,
OTU14134,Protista,,,,,,
OTU14135,Rhodoplantae,Rhodophyta,Florideophyceae,Gracilariales,,,
OTU14136,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,,,
OTU14137,Stramenopila,Oomycota,Oomycetes,Peronosporales,,,
OTU14138,Stramenopila,Oomycota,Oomycetes,Peronosporales,,,
OTU14139,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,Sebacinaceae,,
OTU14140,Fungi,Basidiomycota,Microbotryomycetes,Leucosporidiales,Leucosporidiaceae,Leucosporidium,
OTU14141,Fungi,Ascomycota,Sordariomycetes,Calosphaeriales,,,
OTU14142,Stramenopila,Oomycota,Oomycetes,Peronosporales,,,
OTU14143,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,,
OTU14144,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Ceratobasidium,
OTU14145,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,,,
OTU14146,Stramenopila,Oomycota,Oomycetes,Peronosporales,,,
OTU14147,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,,,
OTU14148,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Flagelloscypha,Flagelloscypha minutissima
OTU14149,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,,,
OTU14150,Fungi,Basidiomycota,Agaricomycetes,Agaricales,,,
OTU14151,Stramenopila,Oomycota,Oomycetes,Peronosporales,,,
OTU14152,Stramenopila,Oomycota,Oomycetes,Peronosporales,,,
OTU14153,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,,,
OTU14154,Stramenopila,Oomycota,Oomycetes,Peronosporales,,,
OTU14155,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,,,
OTU14156,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,,,
OTU14157,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,,,
OTU14158,Stramenopila,Oomycota,Oomycetes,Peronosporales,,,
OTU14159,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Vishniacozyma,
OTU14161,Protista,,,,,,
OTU14162,Fungi,,,,,,
OTU14163,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,,,
OTU14164,,,,,,,
