site,veg,site.veg,plant.species,root microb,coord.X,coord.Y,elevation,VWC,pH,Tube,SampleID,soilN2,soilC2
Spain,NS,Spain.NS,Festuca gautieri,AMF,1.36681,42.575821,2100,15,6.36,155,ITS.cc.155,1.342,17.71
Spain,NS,Spain.NS,Festuca gautieri,AMF,1.36682,42.575821,2100,11.4,6.6,156,ITS.cc.156,1.074,11.368
Spain,NS,Spain.NS,Festuca gautieri,AMF,1.36683,42.575821,2100,17.3,6.38,157,ITS.cc.157,1.067,11.454
Spain,NS,Spain.NS,Festuca gautieri,AMF,1.36684,42.575821,2100,15,6.28,158,ITS.cc.158,1.09,14.624
Spain,NS,Spain.NS,Festuca gautieri,AMF,1.36685,42.575821,2100,16,6.52,159,ITS.cc.159,0.918,8.121
Spain,NS,Spain.NS,Festuca gautieri,AMF,1.36686,42.575821,2100,18.5,5.97,160,ITS.cc.160,1.151,10.19
France,S,France.S,Alnus alnobetula,Nfix,6.17804,45.4215,1813.88,21.6,5.54,161,ITS.cc.161,1.529,21.317
France,S,France.S,Alnus alnobetula,Nfix,6.17804,45.4215,1801.382,18.13333333,5.26,162,ITS.cc.162,2.16,29.607
France,S,France.S,Alnus alnobetula,Nfix,6.17804,45.4215,1785.521,21.33333333,4.367,163,ITS.cc.163,1.835,26.214
France,S,France.S,Alnus alnobetula,Nfix,6.17804,45.4215,1774.706,100,5.61,164,ITS.cc.164,1.012,12.168
France,S,France.S,Alnus alnobetula,Nfix,6.17804,45.4215,1769.178,18.43333333,4.34,165,ITS.cc.165,2.342,27.52
France,S,France.S,Alnus alnobetula,Nfix,6.17804,45.4215,1769.419,21.96666667,4.43,166,ITS.cc.166,2.384,28.188
France,S,France.S,Alnus alnobetula,Nfix,6.17804,45.4215,1774.466,40.6,4.17,167,ITS.cc.167,2.566,14.097
France,S,France.S,Alnus alnobetula,Nfix,6.17804,45.4215,1860.022,12.36666667,4.12,168,ITS.cc.168,1.158,14.714
France,S,France.S,Alnus alnobetula,Nfix,6.17804,45.4215,1860.984,19.46666667,4.36,169,ITS.cc.169,0.239,2.927
France,S,France.S,Alnus alnobetula,Nfix,6.17804,45.4215,1769.899,8.566666667,6.53,170,ITS.cc.170,0.449,5.597
France,NS,France.NS,Vaccinium myrtillus,AMF,6.17804,45.4215,1813.88,12.13333333,6.36,171,ITS.cc.171,0.774,11.396
France,NS,France.NS,Vaccinium myrtillus,AMF,6.17804,45.4215,1801.382,13.5,6.32,172,ITS.cc.172,0.901,13.097
France,NS,France.NS,Vaccinium myrtillus,AMF,6.17804,45.4215,1785.521,46.46666667,6.37,173,ITS.cc.173,0.614,6.938
France,NS,France.NS,Vaccinium myrtillus,AMF,6.17804,45.4215,1774.706,42.9,6.14,174,ITS.cc.174,0.903,9.64
France,NS,France.NS,Vaccinium myrtillus,AMF,6.17804,45.4215,1769.178,19.33333333,6.27,175,ITS.cc.175,0.775,11.198
France,NS,France.NS,Vaccinium myrtillus,AMF,6.17804,45.4215,1769.419,11.16666667,5.63,176,ITS.cc.176,2.355,9.207
France,NS,France.NS,Vaccinium myrtillus,AMF,6.17804,45.4215,1774.466,26.56666667,5.44,177,ITS.cc.177,2.379,10.342
France,NS,France.NS,Vaccinium myrtillus,AMF,6.17804,45.4215,1860.022,17.93333333,5.45,178,ITS.cc.178,0.711,9.455
France,NS,France.NS,Vaccinium myrtillus,AMF,6.17804,45.4215,1860.984,18.03333333,4.93,179,ITS.cc.179,1.719,24.264
France,NS,France.NS,Vaccinium myrtillus,AMF,6.17804,45.4215,1769.899,12.73333333,6.06,180,ITS.cc.180,0.481,6.044
Czech Rep,S,Czech Rep.S,Pinus mugo,ECM.ERM,15.536048,50.766785,1343.94,3,4.22,181,ITS.cc.181,0.507,8.657
